°íÀ¯¹øÈ£,¾ğ¾î,»óÈ£¸í,ÄÜÅÙÃ÷URL,ÁÖ¼Ò,½ÅÁÖ¼Ò,ÀüÈ­¹øÈ£,À¥»çÀÌÆ®,¿î¿µ½Ã°£,±³ÅëÁ¤º¸,È¨ÆäÀÌÁö ¾ğ¾î,´ëÇ¥¸Ş´º
47897,en,Troy Kebab,https://english.visitseoul.net/restaurants/Troy-Kebab/ENP0hp291?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP0hp291," 818-15 Yeoksam-dong, Gangnam-gu, Seoul, Republic of Korea ","06129 16 Teheran-ro 1-gil, Gangnam-gu, Seoul, Republic of Korea (¿ª»ïµ¿) ",-8660,,10:00  - 03:00 ,,,Chicken kebab 
32418,zh-CN,?ß¾å¥ÒöıŞÓğîÜ??ÓÛøúàõå¨á²??,,  ,  ,,,,,,
50077,en,Yukjeupdang Gwanghwamun Branch,https://english.visitseoul.net/restaurants/Yukzupdang/ENPua3t10?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENPua3t10," 2F, 10-1 Saemunan-ro 5-gil, Jongno-gu, Seoul ","03183 2F, 10-1 Saemunan-ro 5-gil, Jongno-gu, Seoul ",-3669,https://www.instagram.com/yukzupdang_official,Daily 11:00?22:00 Break time (Mon?Fri): 14:30?16:00 Last order: 21:15,"Subway Line 5, Gwanghwamun Station Exit 8, 65m ",KOR,
50048,zh-CN,ë¿ñğÓÑÎÃûù?ïÁ,https://chinese.visitseoul.net/restaurants/Yukzupdang/CNPua3t10?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNPua3t10, âÏ?ã¼?ÖØ?ãæ?äÌÖØ5Ê¶10-1 2? ,03183 âÏ?ã¼?ÖØ?ãæ?äÌÖØ5Ê¶10-1 2? ,-3669,https://www.instagram.com/yukzupdang_official,Øßô¸ 11:00-22:00 / ıÌãÓ??£¨ñ²ìé~ñ²çé£©14:30-16:00 / ïÃóÉï¸ò­?? 21:15,ò¢?5??ÎÃûù?ó×8?õóÏ¢£¬65m,??,
50182,en,Shilladang Ikseon,https://english.visitseoul.net/restaurants/silladang/ENP0366bl?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP0366bl," 1F, 40 Donhwamun-ro 11da-gil, Jongno-gu, Seoul ","03133 1F, 40 Donhwamun-ro 11da-gil, Jongno-gu, Seoul ",-10143,https://www.instagram.com/silladang_official/,Daily 10:30?21:00 ,"Subway Line 1/3/5, Jongno 3-ga Station, Exit 4, 177m ","KOR,ENG","Original juak KRW 3,400 "
50196,ja,«·«ó«é«À«ó «¤«¯«½«ó(ìÌà¼),https://japanese.visitseoul.net/restaurants/silladang/JPP0366bl?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP0366bl, «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«È«ó«Õ«¡«à«ó«í11«À«®«ë40 1Í­ ,03133 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«È«ó«Õ«¡«à«ó«í11«À«®«ë40 1Í­ ,-10143,https://www.instagram.com/silladang_official/,?ìí 10:30-21:00,ò¢ù»?1?àÊ/3?àÊ/5?àÊ¡¸«Á«ç«ó«Î«µ«à«¬¡¹?4ÛãõóÏ¢177m,"ùÛ?åŞ,çÈåŞ","«ª«ê«¸«Ê«ë«Á«å«¢«¯ 3,400«¦«©«ó"
50197,zh-CN,ìÌà¼ãæ?ÓÑ,https://chinese.visitseoul.net/restaurants/silladang/CNP0366bl?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP0366bl, âÏ?ã¼?ÖØ?ÔÄûù?ÖØ11ÒıÖØ40 1? ,03133 âÏ?ã¼?ÖØ?ÔÄûù?ÖØ11ÒıÖØ40 1? ,-10143,https://www.instagram.com/silladang_official/,Øßô¸ 10:30-21:00,ò¢?1/3/5???ÖØ3Ê¶ó×4?õóÏ¢£¬177m,"??,çÈ?","?îğšÖÚ·êú?3,400?êª"
50335,en,Kensington Hotel Broadway,https://english.visitseoul.net/restaurants/Broadway/ENP6rymuy?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP6rymuy," 1F, Kensington Hotel, 16 Gukhoe-daero 76-gil, Yeongdeungpo-gu, Seoul ","07238 1F, Kensington Hotel, 16 Gukhoe-daero 76-gil, Yeongdeungpo-gu, Seoul ",-13850,https://kensington.co.kr/hyd/dining/detail?idx=28,07:00 ~ 21:00,"Subway Line 9 National Assembly Station, Exit 1/2/3, 528m ","KOR,ENG,JPN,CHN(zh-CN)",
50020,zh-CN,÷¼?ÛãÊµÕÃØü,https://chinese.visitseoul.net/restaurants/taitoma/CNPlqylq6?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNPlqylq6, âÏ?÷å?ã¼Ë°Ñõ?Ë°ÑõÓŞÖØ106Ê¶7 2? ,06123 âÏ?÷å?ã¼Ë°Ñõ?Ë°ÑõÓŞÖØ106Ê¶7 2? ,-541,https://www.instagram.com/taitoma_korea/,Øßô¸ 11:00-21:00,ò¢?9??/ãæİÎÓĞ? ãæ??ó×6?õóÏ¢£¬137m,??,"÷¼?ÛãÊµÕÃØü(9000?êª)£¬ò¹ŞÍÛãÊµÕÃØü(10,500?êª)"
50153,ko,¿ÀµåÇÏ¿ì½º ¿À½ºÅ×¸®¾Æ,https://korean.visitseoul.net/restaurants/OddhausOsteria/KOPb49ucp?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPb49ucp, ¼­¿ï Áß±¸ Á¤µ¿ 1-28 ,04518 ¼­¿ï Áß±¸ Á¤µ¿±æ 33 ½Å¾Æ±â³ä°ü GÃş ,0507-1310-9845,https://www.instagram.com/odd_haus,11:00-22:00 / ºê·¹ÀÌÅ©Å¸ÀÓ 15:00-17:00,"ÁöÇÏÃ¶ 1È£¼±/2È£¼± ½ÃÃ»¿ª 12¹øÃâ±¸, 507m",ÇÑ±¹¾î,
50021,zh-TW,÷¼åÕÛæÊµÕÃØı ÕÃØıîöØãïÁ,https://tchinese.visitseoul.net/restaurants/taitoma/TCPlqylq6?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCPlqylq6, âÏì³÷åÜ¬ã¼Ë°ÑõÏ¡Ë°ÑõÓŞÖØ106ÖØ7 £¬2F ,06123 âÏì³÷åÜ¬ã¼Ë°ÑõÏ¡Ë°ÑõÓŞÖØ106ÖØ7 £¬2F ,-541,https://www.instagram.com/taitoma_korea/,Øßìí 11:00-21:00,ò¢ôÑ9ûÜàÊ/ãæİÎÓĞàÊãæÖåúÖó×6ûÜõóÏ¢£¬137m,ùÛÙş,"÷¼åÕÛæÊµÕÃØı(9,000ùÛêª)/ÑÃŞÉÛæÊµÕÃØı(10,500ùÛêª)"
32647,zh-CN,ãæÓÑÔ×Õ¸õ¤Ò´?ìé?Ê¶,,  ,  ,,,,,,
32708,zh-CN,??êíÎùîÜ??ñĞ<??îÜ??ñĞ>,,  ,  ,,,,,,
50019,ja,÷¼åÕªÎ«È«Ş«È?,https://japanese.visitseoul.net/restaurants/taitoma/JPPlqylq6?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPPlqylq6, «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«««ó«Ê«à«Ç«í106«®«ë7 2Í­ ,06123 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«««ó«Ê«à«Ç«í106«®«ë7 2Í­ ,-541,https://www.instagram.com/taitoma_korea/,?ìí 11:00-21:00,ò¢ù»?9?àÊ/«·«ó«Ö«ó«À«ó(ãæİÎÓĞ)àÊ¡¸«·«ó«Î«ó«Ò«ç«ó¡¹?6ÛãõóÏ¢ 137m,ùÛ?åŞ,"÷¼åÕªÎ«È«Ş«È«é?«á«ó(9000«¦«©«ó)¡¢«Á?«º«È«Ş«È«é?«á«ó(10,500«¦«©«ó)"
